Movie,Reaction
The Bad News Bears Go to Japan ,"{'neg': 0.0, 'neu': 0.9483333333333333, 'pos': 0.051666666666666666, 'compound': 0.09866666666666667}"
Tim ,"{'neg': 0.14376470588235293, 'neu': 0.6480588235294118, 'pos': 0.20823529411764707, 'compound': 0.08906470588235293}"
Ski Lift to Death ,"{'neg': 0.19763636363636364, 'neu': 0.7030000000000001, 'pos': 0.09936363636363638, 'compound': -0.10680909090909094}"
Grey Gardens ,"{'neg': 0.03892307692307692, 'neu': 0.6639999999999999, 'pos': 0.2970769230769231, 'compound': 0.3047461538461539}"
Network ,"{'neg': 0.11505263157894736, 'neu': 0.7640526315789474, 'pos': 0.12089473684210525, 'compound': -0.07139999999999999}"
Joe Panther ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Bite the Bullet ,"{'neg': 0.0, 'neu': 0.9089090909090909, 'pos': 0.0910909090909091, 'compound': 0.21699090909090907}"
Last of the Mohicans ,"{'neg': 0.062625, 'neu': 0.7808437500000001, 'pos': 0.1565, 'compound': 0.095859375}"
Confessions of a Pop Performer ,"{'neg': 0.023000000000000003, 'neu': 0.84, 'pos': 0.13699999999999998, 'compound': 0.39916666666666667}"
Northville Cemetery Massacre ,"{'neg': 0.0, 'neu': 0.5275, 'pos': 0.47250000000000003, 'compound': 0.5033}"
Tarantulas ,"{'neg': 0.10079166666666665, 'neu': 0.7360000000000001, 'pos': 0.16316666666666665, 'compound': 0.06909583333333334}"
Chulas Fronteras ,"{'neg': 0.016166666666666666, 'neu': 0.8885, 'pos': 0.09549999999999999, 'compound': 0.14966666666666664}"
Hot T-Shirts ,"{'neg': 0.1040909090909091, 'neu': 0.7852727272727272, 'pos': 0.11072727272727273, 'compound': 0.10524545454545456}"
Wombling Free ,"{'neg': 0.05266666666666666, 'neu': 0.7899523809523811, 'pos': 0.15733333333333333, 'compound': 0.1363714285714286}"
Bhumika ,"{'neg': 0.022, 'neu': 0.852, 'pos': 0.126, 'compound': 0.8225}"
Snowbeast ,"{'neg': 0.1203, 'neu': 0.7957, 'pos': 0.0841, 'compound': -0.014960000000000006}"
Retrato de Teresa ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
