Movie,Reaction
Steel Cowboy ,"{'neg': 0.082, 'neu': 0.74775, 'pos': 0.1701875, 'compound': 0.025212500000000002}"
Swim Team ,"{'neg': 0.025, 'neu': 0.7354545454545455, 'pos': 0.23954545454545453, 'compound': 0.3296181818181818}"
Thank God It's Friday ,"{'neg': 0.0316, 'neu': 0.8646, 'pos': 0.1038, 'compound': 0.26062}"
Mr. Billion ,"{'neg': 0.0, 'neu': 0.7412, 'pos': 0.25880000000000003, 'compound': 0.27044}"
Portrait of a Stripper ,"{'neg': 0.07721428571428571, 'neu': 0.5335000000000001, 'pos': 0.38928571428571423, 'compound': 0.37022857142857146}"
The Alpha Incident Agreed.. ,"{'neg': 0.157125, 'neu': 0.51275, 'pos': 0.33025000000000004, 'compound': 0.2350875}"
The Children ,"{'neg': 0.20643749999999997, 'neu': 0.7076875, 'pos': 0.0859375, 'compound': -0.12471875000000002}"
The House on Garibaldi Street ,"{'neg': 0.007833333333333333, 'neu': 0.6083333333333333, 'pos': 0.3838333333333333, 'compound': 0.3049}"
Butch and Sundance ,"{'neg': 0.0, 'neu': 0.7012499999999999, 'pos': 0.29875, 'compound': 0.55945}"
The Legacy ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Shao Lin men Wu jing ,"{'neg': 0.03506666666666666, 'neu': 0.7821999999999999, 'pos': 0.18279999999999996, 'compound': 0.25884}"
Katherine ,"{'neg': 0.13385714285714284, 'neu': 0.6647857142857142, 'pos': 0.20128571428571426, 'compound': 0.14158571428571426}"
Flatbed Annie & Sweetiepie ,"{'neg': 0.0, 'neu': 0.8145000000000001, 'pos': 0.1855, 'compound': 0.32180000000000003}"
Lifeguard ,"{'neg': 0.06188888888888888, 'neu': 0.6624444444444444, 'pos': 0.2756666666666667, 'compound': 0.1985888888888889}"
Three the Hard Way ,"{'neg': 0.09814285714285713, 'neu': 0.827, 'pos': 0.07485714285714286, 'compound': -0.06989999999999999}"
Shampoo ,"{'neg': 0.06711111111111111, 'neu': 0.7203333333333333, 'pos': 0.21255555555555553, 'compound': 0.3198666666666667}"
Where the Lilies Bloom ,"{'neg': 0.03924242424242424, 'neu': 0.5897272727272728, 'pos': 0.37106060606060604, 'compound': 0.37636666666666674}"
Doc Savage Merci ,"{'neg': 0.16211764705882353, 'neu': 0.7484411764705882, 'pos': 0.08941176470588236, 'compound': -0.11305588235294117}"
Apache Blood ,"{'neg': 0.09242857142857143, 'neu': 0.775, 'pos': 0.1325714285714286, 'compound': -0.07455}"
People of the Wind ,"{'neg': 0.016846153846153848, 'neu': 0.7692307692307693, 'pos': 0.21392307692307694, 'compound': 0.4307538461538461}"
Mary White ,"{'neg': 0.037214285714285714, 'neu': 0.6635000000000001, 'pos': 0.29928571428571427, 'compound': 0.3882785714285714}"
A Perfect Couple ,"{'neg': 0.057625, 'neu': 0.6914583333333332, 'pos': 0.25100000000000006, 'compound': 0.2831583333333334}"
Nashville ,"{'neg': 0.04958333333333333, 'neu': 0.7319166666666667, 'pos': 0.2185, 'compound': 0.19681666666666667}"
Can't Stop ,"{'neg': 0.05477777777777778, 'neu': 0.7491666666666665, 'pos': 0.19616666666666666, 'compound': 0.15805555555555553}"
Dragonfly ,"{'neg': 0.306, 'neu': 0.365, 'pos': 0.329, 'compound': 0.128}"
The Initiation of Sarah ,"{'neg': 0.06955555555555555, 'neu': 0.6242222222222221, 'pos': 0.3062222222222222, 'compound': 0.14721111111111113}"
Once Upon a Brothers Grimm ,"{'neg': 0.032350000000000004, 'neu': 0.7023499999999999, 'pos': 0.2653, 'compound': 0.32171}"
Zorro translation. ,"{'neg': 0.024473684210526314, 'neu': 0.6961052631578948, 'pos': 0.2793157894736842, 'compound': 0.4084315789473685}"
Slow Dancing in the Big City ,"{'neg': 0.05096969696969697, 'neu': 0.7342121212121213, 'pos': 0.2148181818181818, 'compound': 0.23973333333333335}"
Terror on the 40th Floor ,"{'neg': 0.11649999999999999, 'neu': 0.8318333333333334, 'pos': 0.051666666666666666, 'compound': -0.11501666666666667}"
The Sister-in-Law ,"{'neg': 0.05228571428571428, 'neu': 0.8212857142857143, 'pos': 0.12642857142857142, 'compound': 0.12178571428571426}"
Brubaker ,"{'neg': 0.1402, 'neu': 0.6921, 'pos': 0.1676, 'compound': -0.06321}"
"Race for Your Life, Charlie Brown ","{'neg': 0.099, 'neu': 0.6045, 'pos': 0.2965, 'compound': 0.51735}"
High Anxiety ,"{'neg': 0.08021428571428571, 'neu': 0.7335, 'pos': 0.1862857142857143, 'compound': 0.2878785714285714}"
Bloodbrothers ,"{'neg': 0.02969230769230769, 'neu': 0.8592307692307692, 'pos': 0.11115384615384616, 'compound': 0.11652307692307692}"
When Hell Was in Session ,"{'neg': 0.07342857142857143, 'neu': 0.699952380952381, 'pos': 0.179, 'compound': 0.13361428571428574}"
W.C. Fields and Me ,"{'neg': 0.05814814814814816, 'neu': 0.7607037037037038, 'pos': 0.18111111111111114, 'compound': 0.24575925925925932}"
The Grass Is Always Greener Over the Septic Tank ,"{'neg': 0.028794871794871797, 'neu': 0.7776923076923076, 'pos': 0.19348717948717953, 'compound': 0.27305384615384615}"
The Island of Dr. Moreau ,"{'neg': 0.0, 'neu': 0.706, 'pos': 0.294, 'compound': 0.7845}"
Chapter Two ,"{'neg': 0.2592, 'neu': 0.6738, 'pos': 0.06699999999999999, 'compound': -0.28372}"
Gol Maal ,"{'neg': 0.0, 'neu': 0.381, 'pos': 0.619, 'compound': 0.9452}"
The Norseman ,"{'neg': 0.011225806451612903, 'neu': 0.8101935483870968, 'pos': 0.14629032258064517, 'compound': 0.14998709677419353}"
The Swarm 1 ,"{'neg': 0.09359090909090907, 'neu': 0.7339090909090907, 'pos': 0.17245454545454544, 'compound': -0.03214545454545456}"
The Children of An Lac ,"{'neg': 0.0685, 'neu': 0.7209000000000001, 'pos': 0.21059999999999998, 'compound': 0.27999999999999997}"
The Thirty-Nine Steps ,"{'neg': 0.08754545454545455, 'neu': 0.624, 'pos': 0.28845454545454546, 'compound': 0.1966727272727273}"
Martin ,"{'neg': 0.050749999999999997, 'neu': 0.6086666666666666, 'pos': 0.3405833333333334, 'compound': 0.602525}"
The Gathering ,"{'neg': 0.317, 'neu': 0.683, 'pos': 0.0, 'compound': -0.5643}"
The Enforcer ,"{'neg': 0.02316666666666667, 'neu': 0.8828333333333332, 'pos': 0.09400000000000001, 'compound': 0.18441666666666667}"
The Lady in Red ,"{'neg': 0.07736666666666667, 'neu': 0.8269666666666666, 'pos': 0.09566666666666665, 'compound': 0.05453000000000001}"
Romeo & Juliet ,"{'neg': 0.11404545454545456, 'neu': 0.6777727272727274, 'pos': 0.20813636363636362, 'compound': 0.10308181818181819}"
The Amsterdam Kill ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Chicken Chronicles ,"{'neg': 0.03816666666666667, 'neu': 0.6294444444444445, 'pos': 0.33238888888888884, 'compound': 0.32925000000000004}"
Ashanti ,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.5859}"
The New Adventures of Heidi ,"{'neg': 0.049, 'neu': 0.62675, 'pos': 0.32425, 'compound': 0.231475}"
A Christmas to Remember ,"{'neg': 0.0, 'neu': 0.6075, 'pos': 0.3925, 'compound': 0.3883125}"
Funny Lady ,"{'neg': 0.046, 'neu': 0.6045882352941176, 'pos': 0.3494117647058823, 'compound': 0.33005294117647066}"
Annie Hall ,"{'neg': 0.07147058823529413, 'neu': 0.7105882352941177, 'pos': 0.218, 'compound': 0.28005882352941175}"
Take a Hard Ride ,"{'neg': 0.04666666666666666, 'neu': 0.7455333333333332, 'pos': 0.2077333333333333, 'compound': 0.23210000000000003}"
Death at Love House ,"{'neg': 0.146, 'neu': 0.744, 'pos': 0.11, 'compound': -0.2577}"
The Lady Vanishes ,"{'neg': 0.09394871794871795, 'neu': 0.6705641025641024, 'pos': 0.23551282051282052, 'compound': 0.13112820512820514}"
Stay Hungry ,"{'neg': 0.1265, 'neu': 0.7498333333333334, 'pos': 0.12372222222222222, 'compound': 0.10929444444444442}"
Interiors ,"{'neg': 0.0318, 'neu': 0.8842000000000001, 'pos': 0.08399999999999999, 'compound': 0.10566}"
Orphan Train ,"{'neg': 0.0611764705882353, 'neu': 0.7443529411764706, 'pos': 0.19447058823529415, 'compound': 0.23494117647058824}"
Day of the Animals ,"{'neg': 0.0, 'neu': 0.8823333333333334, 'pos': 0.11766666666666666, 'compound': 0.2850333333333333}"
The Hobbit ,"{'neg': 0.06842857142857144, 'neu': 0.7526666666666666, 'pos': 0.17900000000000005, 'compound': 0.17160952380952382}"
"September 30, 1955 ","{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.6124}"
Thieves Like Us ,"{'neg': 0.0355, 'neu': 0.8552500000000001, 'pos': 0.10925000000000001, 'compound': 0.28175}"
Hardware Wars ,"{'neg': 0.011166666666666667, 'neu': 0.5795, 'pos': 0.4093333333333333, 'compound': 0.5005833333333334}"
Rocky II ,"{'neg': 0.04700000000000001, 'neu': 0.698375, 'pos': 0.25458333333333333, 'compound': 0.3632041666666667}"
Killer on Board ,"{'neg': 0.0302, 'neu': 0.7185333333333334, 'pos': 0.2512666666666667, 'compound': 0.3335266666666667}"
The Cassandra Crossing ,"{'neg': 0.354, 'neu': 0.6459999999999999, 'pos': 0.0, 'compound': -0.70375}"
The White Buffalo ,"{'neg': 0.113, 'neu': 0.472, 'pos': 0.415, 'compound': 0.7506}"
The Buddy Holly Story ,"{'neg': 0.05653333333333334, 'neu': 0.7146000000000001, 'pos': 0.22886666666666666, 'compound': 0.23491333333333334}"
Rod ,"{'neg': 0.0, 'neu': 0.8525, 'pos': 0.1475, 'compound': 0.38585}"
Little Ladies of the Night ,"{'neg': 0.038400000000000004, 'neu': 0.9114000000000001, 'pos': 0.0502, 'compound': 0.023420000000000003}"
Deadbeat ,"{'neg': 0.06921052631578947, 'neu': 0.6796842105263157, 'pos': 0.2511052631578947, 'compound': 0.3182000000000001}"
How to Break Up a Happy Divorce ,"{'neg': 0.11305882352941177, 'neu': 0.763764705882353, 'pos': 0.12311764705882355, 'compound': 0.09738823529411766}"
The Legend of Sleepy Hollow ,"{'neg': 0.06421052631578947, 'neu': 0.7254736842105262, 'pos': 0.2102105263157895, 'compound': 0.19904736842105264}"
The Space Movie ,"{'neg': 0.11004000000000001, 'neu': 0.77964, 'pos': 0.11036000000000001, 'compound': 0.005663999999999998}"
Nurse Sherri ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Teacher ,"{'neg': 0.06925, 'neu': 0.8135, 'pos': 0.11725, 'compound': 0.05669999999999999}"
Something Short of Paradise ,"{'neg': 0.05378260869565218, 'neu': 0.6850869565217392, 'pos': 0.26117391304347826, 'compound': 0.3270695652173913}"
"Ilsa, Harem Keeper of the Oil ","{'neg': 0.264375, 'neu': 0.6244999999999999, 'pos': 0.110875, 'compound': -0.06098749999999997}"
The Possessed ,"{'neg': 0.05728571428571429, 'neu': 0.8825714285714286, 'pos': 0.06028571428571428, 'compound': 0.09862857142857143}"
Hi-Riders ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Muthers ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Easter Bunny Is Comin' to Town ,"{'neg': 0.03230769230769231, 'neu': 0.8144615384615383, 'pos': 0.15323076923076923, 'compound': 0.20975769230769228}"
Revenge of the Cheerleaders ,"{'neg': 0.06144444444444444, 'neu': 0.8367777777777777, 'pos': 0.10177777777777777, 'compound': 0.12632222222222222}"
The Sugarland Express ,"{'neg': 0.03525, 'neu': 0.831, 'pos': 0.13375, 'compound': 0.1397375}"
Natural Enemies ,"{'neg': 0.0, 'neu': 0.35050000000000003, 'pos': 0.3995, 'compound': 0.39465}"
Embryo ,"{'neg': 0.043666666666666666, 'neu': 0.8226666666666667, 'pos': 0.022555555555555558, 'compound': -0.041555555555555554}"
The Getting of Wisdom ,"{'neg': 0.184, 'neu': 0.6779999999999999, 'pos': 0.138, 'compound': 0.006599999999999995}"
Cuba Yo ,"{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.35015}"
Shark Kill ,"{'neg': 0.10316666666666668, 'neu': 0.7755833333333335, 'pos': 0.12116666666666669, 'compound': 0.05773333333333331}"
Act of Love ,"{'neg': 0.102, 'neu': 0.297, 'pos': 0.601, 'compound': 0.9337}"
A Last Cry for Help ,"{'neg': 0.0545925925925926, 'neu': 0.6658148148148147, 'pos': 0.27959259259259256, 'compound': 0.21385925925925928}"
Hawmps! ,"{'neg': 0.027772727272727272, 'neu': 0.7278181818181818, 'pos': 0.2444545454545455, 'compound': 0.2548227272727273}"
Silent Victory ,"{'neg': 0.005714285714285714, 'neu': 0.43842857142857145, 'pos': 0.413, 'compound': 0.3590857142857143}"
The Bermuda Depths ,"{'neg': 0.13849999999999998, 'neu': 0.719, 'pos': 0.14266666666666664, 'compound': -0.08935}"
Queen of the Stardust Ballroom ,"{'neg': 0.0239, 'neu': 0.7366857142857143, 'pos': 0.21085714285714285, 'compound': 0.2546542857142857}"
Race with the Devil ,"{'neg': 0.07546153846153847, 'neu': 0.7512884615384615, 'pos': 0.17324999999999996, 'compound': 0.043496153846153844}"
Rafferty and the Gold Dust Twins ,"{'neg': 0.204, 'neu': 0.388, 'pos': 0.408, 'compound': 0.4767}"
The Stranger Within ,"{'neg': 0.06857142857142857, 'neu': 0.7988571428571429, 'pos': 0.13257142857142856, 'compound': 0.04635714285714286}"
Any Which Way You Can ,"{'neg': 0.028, 'neu': 0.532, 'pos': 0.10666666666666667, 'compound': 0.15886666666666666}"
Stowaway to the Moon ,"{'neg': 0.08477142857142857, 'neu': 0.8038571428571428, 'pos': 0.11137142857142858, 'compound': 0.0845057142857143}"
The Man in the Glass Booth ,"{'neg': 0.02642857142857143, 'neu': 0.7266785714285716, 'pos': 0.21117857142857144, 'compound': 0.26753571428571427}"
The Bell ,"{'neg': 0.0, 'neu': 0.8956666666666667, 'pos': 0.10433333333333333, 'compound': 0.20796666666666666}"
Dark Victory ,"{'neg': 0.0602, 'neu': 0.775, 'pos': 0.1648, 'compound': 0.24138}"
Kleinhoff Hotel ,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.4215}"
The Lord of the Rings ,"{'neg': 0.02772222222222222, 'neu': 0.7730555555555555, 'pos': 0.19922222222222222, 'compound': 0.17853333333333335}"
The Spy Who Loved Me ,"{'neg': 0.04404166666666667, 'neu': 0.7466249999999999, 'pos': 0.20937499999999998, 'compound': 0.25348333333333334}"
The Sea Gypsies ,"{'neg': 0.0615, 'neu': 0.5636111111111112, 'pos': 0.3748888888888888, 'compound': 0.3466444444444444}"
The Last Tycoon ,"{'neg': 0.08788888888888888, 'neu': 0.8075555555555556, 'pos': 0.10444444444444444, 'compound': 0.02107777777777779}"
The Last Day ,"{'neg': 0.0304375, 'neu': 0.6203124999999999, 'pos': 0.34925000000000006, 'compound': 0.31097500000000006}"
The Man in the Santa Claus Suit Huh. ,"{'neg': 0.03609375, 'neu': 0.77178125, 'pos': 0.19215625000000003, 'compound': 0.16780937499999998}"
H.O.T.S. ,"{'neg': 0.08728571428571427, 'neu': 0.8374285714285715, 'pos': 0.07523809523809524, 'compound': 0.00800952380952381}"
Every Which Way But Loose ,"{'neg': 0.023750000000000004, 'neu': 0.7173333333333333, 'pos': 0.2589166666666667, 'compound': 0.3266}"
Who'll Stop the Rain ,"{'neg': 0.0, 'neu': 0.6645000000000001, 'pos': 0.3355, 'compound': 0.45420000000000005}"
The Crater Lake Monster ,"{'neg': 0.0, 'neu': 0.126, 'pos': 0.874, 'compound': 0.7865}"
The Wind and the Lion beatuful! ,"{'neg': 0.18299999999999997, 'neu': 0.6966666666666667, 'pos': 0.12033333333333333, 'compound': 0.2738333333333334}"
My Brilliant Career ,"{'neg': 0.020194444444444445, 'neu': 0.6730000000000002, 'pos': 0.3068055555555556, 'compound': 0.3549361111111111}"
Operation ,"{'neg': 0.16942105263157894, 'neu': 0.6784736842105263, 'pos': 0.15210526315789474, 'compound': -0.10552105263157897}"
Tourist Trap ,"{'neg': 0.14495000000000002, 'neu': 0.7317500000000001, 'pos': 0.1233, 'compound': -0.09766500000000003}"
The Champ ,"{'neg': 0.1442, 'neu': 0.7369333333333333, 'pos': 0.11893333333333335, 'compound': -0.018813333333333356}"
Viva Knievel! ,"{'neg': 0.151, 'neu': 0.7004999999999999, 'pos': 0.149, 'compound': -0.13870000000000002}"
Black Joy ,"{'neg': 0.0, 'neu': 0.92975, 'pos': 0.07025, 'compound': 0.155975}"
Rock 'n' Roll High School ,"{'neg': 0.06531818181818182, 'neu': 0.7758181818181817, 'pos': 0.1588181818181818, 'compound': 0.12955454545454545}"
The Apple ,"{'neg': 0.1042, 'neu': 0.8118400000000001, 'pos': 0.044000000000000004, 'compound': -0.14986}"
The Plumber ,"{'neg': 0.11425, 'neu': 0.79025, 'pos': 0.09575, 'compound': -0.037750000000000006}"
The Great Wallendas ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Cat from Outer Space ,"{'neg': 0.03908695652173913, 'neu': 0.8186086956521741, 'pos': 0.14230434782608697, 'compound': 0.20098260869565218}"
A Question of Guilt ,"{'neg': 0.0, 'neu': 0.8126666666666665, 'pos': 0.18733333333333335, 'compound': 0.41303333333333336}"
The Taking of Pelham ,"{'neg': 0.0765925925925926, 'neu': 0.6496666666666668, 'pos': 0.19962962962962963, 'compound': 0.25411481481481485}"
The Cheap Detective ,"{'neg': 0.0, 'neu': 0.6683333333333333, 'pos': 0.3316666666666666, 'compound': 0.38936666666666664}"
Agatha Was ,"{'neg': 0.06771428571428571, 'neu': 0.8582857142857144, 'pos': 0.074, 'compound': 0.08517142857142858}"
Kramer vs. Kramer ,"{'neg': 0.11659090909090909, 'neu': 0.712590909090909, 'pos': 0.17081818181818187, 'compound': 0.15985909090909092}"
The Incredible Journey of Doctor Meg Laurel ,"{'neg': 0.051866666666666665, 'neu': 0.8103333333333335, 'pos': 0.13779999999999998, 'compound': 0.04711333333333331}"
The White Dawn ,"{'neg': 0.10986956521739132, 'neu': 0.7200434782608696, 'pos': 0.17004347826086955, 'compound': 0.07527826086956521}"
The Evil ,"{'neg': 0.12824999999999998, 'neu': 0.7100500000000001, 'pos': 0.1617, 'compound': -0.12100499999999996}"
Wise Blood ,"{'neg': 0.0672, 'neu': 0.7826285714285716, 'pos': 0.15017142857142854, 'compound': 0.1464857142857143}"
Just an Old Sweet Song ,"{'neg': 0.0, 'neu': 0.5092142857142857, 'pos': 0.4193571428571429, 'compound': 0.5589000000000001}"
Long Weekend ,"{'neg': 0.10266666666666667, 'neu': 0.7346666666666667, 'pos': 0.16266666666666665, 'compound': 0.12986666666666666}"
The Club ,"{'neg': 0.223, 'neu': 0.6922142857142858, 'pos': 0.08475, 'compound': -0.1615214285714286}"
A Family Upside Down ,"{'neg': 0.07131578947368421, 'neu': 0.835157894736842, 'pos': 0.09352631578947368, 'compound': -0.014121052631578949}"
HealtH ,"{'neg': 0.07997468354430377, 'neu': 0.8128481012658226, 'pos': 0.10712658227848104, 'compound': 0.09529113924050638}"
Robin and Marian ,"{'neg': 0.0808695652173913, 'neu': 0.8197826086956522, 'pos': 0.09934782608695653, 'compound': 0.05973043478260869}"
Killer of Sheep ,"{'neg': 0.03227272727272727, 'neu': 0.811909090909091, 'pos': 0.09524242424242427, 'compound': 0.09594545454545454}"
"Mother, Jugs & Speed ","{'neg': 0.06594444444444444, 'neu': 0.8211666666666666, 'pos': 0.11288888888888889, 'compound': 0.04724444444444445}"
The Children of Sanchez ,"{'neg': 0.017333333333333333, 'neu': 0.9826666666666667, 'pos': 0.0, 'compound': -0.04933333333333333}"
Psychic Killer ,"{'neg': 0.12833333333333333, 'neu': 0.8716666666666667, 'pos': 0.0, 'compound': -0.2848333333333333}"
Squirm ,"{'neg': 0.03525, 'neu': 0.946, 'pos': 0.01875, 'compound': -0.2103}"
Cry of the Innocent ,"{'neg': 0.15946874999999996, 'neu': 0.6779687500000002, 'pos': 0.1625625, 'compound': -0.03784374999999998}"
The Competition ,"{'neg': 0.02476, 'neu': 0.8478, 'pos': 0.12752, 'compound': 0.08954}"
Get Mean ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Concorde... Airport '79 ,"{'neg': 0.09095, 'neu': 0.7384, 'pos': 0.17065, 'compound': 0.081925}"
A Christmas Without Snow ,"{'neg': 0.0, 'neu': 0.8363333333333335, 'pos': 0.16366666666666665, 'compound': 0.6849999999999999}"
Altered States ,"{'neg': 0.07868750000000001, 'neu': 0.760625, 'pos': 0.1605625, 'compound': 0.14788125000000002}"
Mean Dog Blues ,"{'neg': 0.03776923076923077, 'neu': 0.8026153846153845, 'pos': 0.15961538461538463, 'compound': 0.10813846153846154}"
The Goodbye Girl ,"{'neg': 0.012666666666666666, 'neu': 0.6448333333333334, 'pos': 0.3425833333333333, 'compound': 0.4519916666666668}"
Sparkle ,"{'neg': 0.17163636363636361, 'neu': 0.5715454545454546, 'pos': 0.1659090909090909, 'compound': 0.22216363636363637}"
The World's Greatest Lover ,"{'neg': 0.03866666666666667, 'neu': 0.6849999999999999, 'pos': 0.27666666666666667, 'compound': 0.43579999999999997}"
The Double McGuffin ,"{'neg': 0.03375, 'neu': 0.6749166666666667, 'pos': 0.2913333333333334, 'compound': 0.23753333333333337}"
Massacre at Central High ,"{'neg': 0.0766, 'neu': 0.5404000000000001, 'pos': 0.38299999999999995, 'compound': 0.19314}"
Where Have All the People Gone ,"{'neg': 0.034828571428571424, 'neu': 0.8043714285714285, 'pos': 0.16074285714285716, 'compound': 0.16902000000000003}"
Eleanor and Franklin ,"{'neg': 0.06197435897435897, 'neu': 0.7467692307692307, 'pos': 0.19125641025641027, 'compound': 0.1260769230769231}"
Watership Down ,"{'neg': 0.31766666666666665, 'neu': 0.629, 'pos': 0.05333333333333334, 'compound': -0.3461}"
Haunts ,"{'neg': 0.1358421052631579, 'neu': 0.6927368421052633, 'pos': 0.17142105263157895, 'compound': -0.045926315789473704}"
The Big Red One Horton ,"{'neg': 0.10584210526315788, 'neu': 0.741, 'pos': 0.1531578947368421, 'compound': -0.01253157894736842}"
Meteor ,"{'neg': 0.07783333333333334, 'neu': 0.8340833333333334, 'pos': 0.08808333333333333, 'compound': 0.023725}"
Bog Flame Goku ,"{'neg': 0.09014285714285715, 'neu': 0.7550714285714287, 'pos': 0.15482142857142858, 'compound': 0.19885}"
Heroes ,"{'neg': 0.13, 'neu': 0.7075454545454545, 'pos': 0.16245454545454543, 'compound': 0.2067181818181818}"
A Star Is Born ,"{'neg': 0.08092, 'neu': 0.70864, 'pos': 0.21047999999999997, 'compound': 0.288264}"
Opening Night ,"{'neg': 0.076, 'neu': 0.7735000000000001, 'pos': 0.151, 'compound': 0.13485000000000003}"
The Legend of Lizzie Borden ,"{'neg': 0.1322777777777778, 'neu': 0.7828703703703703, 'pos': 0.08485185185185184, 'compound': -0.1251111111111111}"
Straight Time ,"{'neg': 0.03388, 'neu': 0.70928, 'pos': 0.21688000000000002, 'compound': 0.22755599999999998}"
Battle Beyond the Stars ,"{'neg': 0.12012500000000002, 'neu': 0.7380416666666668, 'pos': 0.141875, 'compound': 0.08617916666666668}"
The Bawdy Adventures of Tom Jones ,"{'neg': 0.3955, 'neu': 0.6045, 'pos': 0.0, 'compound': -0.2924}"
The UFO Incident ,"{'neg': 0.08900000000000001, 'neu': 0.7467599999999999, 'pos': 0.16424000000000002, 'compound': 0.19420400000000004}"
Semi-Tough ,"{'neg': 0.0636, 'neu': 0.762, 'pos': 0.1746, 'compound': 0.07462}"
The Choirboys ,"{'neg': 0.2212, 'neu': 0.6075999999999999, 'pos': 0.1712, 'compound': -0.02178}"
The Last Hard Men ,"{'neg': 0.158, 'neu': 0.8420000000000001, 'pos': 0.0, 'compound': -0.58035}"
The Incredible Melting Man ,"{'neg': 0.15434615384615386, 'neu': 0.7342692307692308, 'pos': 0.11134615384615383, 'compound': -0.039311538461538446}"
Americathon ,"{'neg': 0.045307692307692306, 'neu': 0.7704230769230769, 'pos': 0.18442307692307688, 'compound': 0.16258461538461538}"
The Black Marble Bello ,"{'neg': 0.036, 'neu': 0.7068333333333333, 'pos': 0.25733333333333336, 'compound': 0.28600000000000003}"
Alcatraz ,"{'neg': 0.0946, 'neu': 0.6908666666666666, 'pos': 0.21459999999999999, 'compound': 0.2525}"
The Clonus Horror ,"{'neg': 0.10492307692307695, 'neu': 0.835076923076923, 'pos': 0.060000000000000005, 'compound': -0.04549615384615384}"
Taxi Driver ,"{'neg': 0.13063157894736846, 'neu': 0.6852631578947368, 'pos': 0.18410526315789474, 'compound': 0.14758947368421052}"
The Ultimate Thrill ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Mary, Mary, Bloody Mary ","{'neg': 0.18366666666666667, 'neu': 0.48300000000000004, 'pos': 0.3333333333333333, 'compound': -0.10609999999999999}"
Racquet ,"{'neg': 0.049437499999999995, 'neu': 0.61225, 'pos': 0.3383125, 'compound': 0.36889375}"
The Driller Killer Bloodstain ,"{'neg': 0.10315384615384615, 'neu': 0.7436153846153846, 'pos': 0.15307692307692308, 'compound': 0.11385384615384615}"
"Quadrophenia ""..... ","{'neg': 0.10094117647058823, 'neu': 0.8076470588235295, 'pos': 0.09141176470588235, 'compound': 0.01791176470588234}"
Invasion of the Body Snatchers ,"{'neg': 0.07507692307692308, 'neu': 0.7377692307692307, 'pos': 0.18715384615384617, 'compound': 0.12553846153846152}"
Stunt Rock ,"{'neg': 0.045849999999999995, 'neu': 0.81615, 'pos': 0.13799999999999998, 'compound': 0.172215}"
Crash! ,"{'neg': 0.1446842105263158, 'neu': 0.6711052631578948, 'pos': 0.1843157894736842, 'compound': 0.19878947368421052}"
Home Movies ,"{'neg': 0.13172, 'neu': 0.69028, 'pos': 0.17800000000000002, 'compound': 0.040208000000000015}"
The Tenth Month ,"{'neg': 0.0962, 'neu': 0.5718, 'pos': 0.3322, 'compound': 0.23525999999999997}"
Damien ,"{'neg': 0.09163636363636364, 'neu': 0.6952727272727273, 'pos': 0.21309090909090903, 'compound': 0.1639363636363636}"
Flood ,"{'neg': 0.17357894736842105, 'neu': 0.6871052631578948, 'pos': 0.1393157894736842, 'compound': -0.1603947368421053}"
Wanted ,"{'neg': 0.0736, 'neu': 0.7011499999999999, 'pos': 0.2253, 'compound': 0.177145}"
Black Shampoo ,"{'neg': 0.12323076923076923, 'neu': 0.6875384615384615, 'pos': 0.1893076923076923, 'compound': 0.23587692307692307}"
Ghosts That Still Walk ,"{'neg': 0.055882352941176466, 'neu': 0.7452941176470588, 'pos': 0.19882352941176473, 'compound': 0.1427470588235294}"
"It's Arbor Day, Charlie Brown ","{'neg': 0.021333333333333333, 'neu': 0.9023333333333333, 'pos': 0.07666666666666667, 'compound': 0.15866666666666665}"
"Shoot It Black, Shoot It Blue ","{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.785}"
Fast Break After ,"{'neg': 0.097625, 'neu': 0.5968749999999999, 'pos': 0.3055, 'compound': 0.1990375}"
A Woman Under the Influence ,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.3612333333333333}"
Dracula's Dog ,"{'neg': 0.062, 'neu': 0.8099523809523811, 'pos': 0.12804761904761905, 'compound': -0.014904761904761902}"
Escape to Athena ,"{'neg': 0.0641111111111111, 'neu': 0.4567777777777777, 'pos': 0.479, 'compound': 0.25896666666666673}"
